hobo_name,start_date.time,stop_date.time
Admin_shade_0cm,1/27/23 0:00,5/4/23 12:40
Admin_shade_25cm,1/27/23 0:00,5/4/23 12:40
Admin_shade_50cm,1/27/23 0:00,5/4/23 12:40
Admin_soil_-5cm,1/27/23 0:00,5/4/23 12:40
Admin_soil_-10cm,1/27/23 0:00,5/4/23 12:40
Admin_sun_0cm,1/27/23 0:00,5/4/23 12:40
Admin_sun_25cm,1/27/23 0:00,5/4/23 12:40
Admin_sun_50cm,1/27/23 0:00,5/4/23 12:40
Admin_water_35cm,1/27/23 0:00,5/4/23 12:40
Admin_water_20cm,1/27/23 0:00,5/4/23 12:40
Admin_water_5cm,1/27/23 0:00,5/4/23 12:40
Phelps_shade_0cm,1/27/23 0:00,5/4/23 12:00
Phelps_sun_0cm,1/27/23 0:00,5/4/23 12:00
Phelps_sun_25cm,1/27/23 0:00,5/4/23 12:00
Phelps_shade_25cm,1/27/23 0:00,5/4/23 12:00
Phelps_shade_50cm,1/27/23 0:00,5/4/23 12:00
Phelps_sun_50cm,1/27/23 0:00,5/4/23 12:00
Phelps_soil_-5cm,1/27/23 0:00,5/4/23 12:00
Phelps_water_35cm,1/27/23 0:00,5/4/23 12:00
Phelps_water_20cm,1/27/23 0:00,5/4/23 12:00
Phelps_water_5cm,1/27/23 0:00,5/4/23 12:00
RV_shade_0cm,1/27/23 0:00,5/4/23 12:15
RV_sun_0cm,1/27/23 0:00,5/4/23 12:15
RV_sun_25cm,1/27/23 0:00,5/4/23 12:15
RV_shade_25cm,1/27/23 0:00,5/4/23 12:15
RV_shade_50cm,1/27/23 0:00,5/4/23 12:15
RV_sun_50cm,1/27/23 0:00,5/4/23 12:15
RV_soil_-10cm,1/27/23 0:00,5/4/23 12:15
RV_soil_-5cm,1/27/23 0:00,5/4/23 12:15
RV_water_35cm,1/27/23 0:00,5/4/23 12:15
RV_water_20cm,1/27/23 0:00,5/4/23 12:15
RV_water_5cm,1/27/23 0:00,5/4/23 12:15
Tuttle_shade_0cm,1/27/23 0:00,5/4/23 11:10
Tuttle_shade_25cm,1/27/23 0:00,5/4/23 11:10
Tuttle_shade_50cm,1/27/23 0:00,5/4/23 11:10
Tuttle_soil_-5cm,1/27/23 0:00,5/4/23 11:10
Tuttle_sun_0cm,1/27/23 0:00,5/4/23 11:10
Tuttle_sun_25cm,1/27/23 0:00,5/4/23 11:10
Tuttle_sun_50cm,1/27/23 0:00,5/4/23 11:10
Tuttle_soil_-10cm,1/27/23 0:00,5/4/23 11:10
Tuttle_water_35cm,1/27/23 0:00,5/4/23 11:10
Tuttle_water_20cm,1/27/23 0:00,5/4/23 11:10
Tuttle_water_5cm,1/27/23 0:00,5/4/23 11:10
TW_shade_0cm,1/27/23 0:00,5/11/23 15:00
TW_sun_0cm,1/27/23 0:00,5/11/23 15:00
TW_sun_25cm,1/27/23 0:00,5/11/23 15:00
TW_shade_25cm,1/27/23 0:00,5/11/23 15:00
TW_substrate_-10cm,1/27/23 0:00,5/11/23 15:00
TW_substrate_-5cm,1/27/23 0:00,5/11/23 15:00
TW_water_20cm,1/27/23 0:00,5/11/23 15:00
TW_water_5cm,1/27/23 0:00,5/11/23 15:00
Vorisek_shade_0cm,1/27/23 0:00,5/4/23 10:40
Vorisek_sun_0cm,1/27/23 0:00,5/4/23 10:40
Vorisek_sun_25cm,1/27/23 0:00,5/4/23 10:40
Vorisek_shade_25cm,1/27/23 0:00,5/4/23 10:40
Vorisek_shade_50cm,1/27/23 0:00,5/4/23 10:40
Vorisek_sun_50cm,1/27/23 0:00,5/4/23 10:40
Vorisek_soil_-10cm,1/27/23 0:00,5/4/23 10:40
Vorisek_soil_-5cm,1/27/23 0:00,5/4/23 10:40
Vorisek_water_35cm,1/27/23 0:00,5/4/23 10:40
Vorisek_water_20cm,1/27/23 0:00,5/4/23 10:40
Vorisek_water_5cm,1/27/23 0:00,5/4/23 10:40
Wood_shade_0cm,1/27/23 0:00,5/4/23 11:40
Wood_sun_0cm,1/27/23 0:00,5/4/23 11:40
Wood_sun_25cm,1/27/23 0:00,5/4/23 11:40
Wood_shade_25cm,1/27/23 0:00,5/4/23 11:40
Wood_sun_50cm,1/27/23 0:00,5/4/23 11:40
Wood_shade_50cm,1/27/23 0:00,5/4/23 11:40
Wood_soil_-5cm,1/27/23 0:00,5/4/23 11:40
Wood_soil_-10cm,1/27/23 0:00,5/4/23 11:40
Wood_water_35cm,1/27/23 0:00,5/4/23 11:40
Wood_water_20cm,1/27/23 0:00,5/4/23 11:40
Wood_water_5cm,1/27/23 0:00,5/4/23 11:40
